549,572,549,520
729,698,338,698
381,840,381,409
80,467,80,48
132,197,132,92
343,96,343,710
503,56,804,56
599,206,60,206
702,920,474,920
969,579,583,579
897,66,604,66
330,49,949,49
908,132,714,132
800,61,800,51
179,242,179,202
529,757,529,838
288,953,393,953
576,981,245,981
347,240,347,928
534,257,950,257
539,274,539,327
722,670,630,670
28,167,28,489
186,59,700,59
121,186,670,186
797,985,671,985
836,804,335,804
456,718,456,964
694,891,694,839
205,637,205,318
151,391,151,779
693,894,417,894
418,700,656,700
196,985,896,985
552,558,552,482
184,412,170,412
268,930,247,930
755,893,845,893
706,843,706,225
162,726,895,726
140,888,289,888
272,725,272,598
422,355,422,360
460,121,460,151
55,944,946,944
795,744,221,744
816,953,471,953
865,186,557,186
197,988,571,988
183,364,523,364
16,986,16,319
788,76,788,635
933,375,458,375
240,508,240,234
547,404,547,830
128,581,970,581
919,210,295,210
737,43,231,43
821,337,570,337
688,753,538,753
891,844,124,844
43,942,43,210
100,391,100,142
975,527,175,527
558,231,558,858
644,824,812,824
899,657,500,657
263,668,263,964
157,374,820,374
530,301,530,67
15,688,15,572
104,92,104,547
421,472,421,176
140,980,852,980
248,602,346,602
334,961,334,471
270,83,270,135
416,430,879,430
796,937,796,415
670,679,72,679
733,884,733,302
745,196,306,196
285,978,254,978
242,107,242,725
238,341,238,800
530,474,530,853
931,47,467,47
86,141,821,141
263,15,654,15
826,793,989,793
729,285,729,192
587,915,587,79
548,667,877,667
760,418,491,418
175,502,443,502
941,849,941,778
705,672,152,672
150,567,656,567
158,411,965,411
533,886,817,886
569,949,285,949
699,764,699,780
791,501,718,501
976,265,976,713
322,738,212,738
68,314,14,314
170,211,482,211
159,412,159,32
312,939,312,95
950,114,950,826
620,848,620,11
752,479,752,577
784,796,784,872
434,82,434,481
159,252,159,291
462,14,462,977
553,981,553,390
231,936,51,936
58,759,60,759
572,891,584,891
705,303,124,303
865,275,865,956
492,491,470,491
971,15,977,15
750,521,33,521
368,677,570,677
795,186,882,186
404,840,678,840
187,488,403,488
824,706,642,706
330,541,330,195
564,531,774,531
976,975,976,843
575,643,267,643
827,295,827,854
749,486,749,780
656,716,656,470
635,187,417,187
503,488,503,393
592,688,592,567
608,158,780,158
127,452,339,452
157,371,157,916
640,758,983,758
906,413,906,776
903,728,903,459
440,900,294,900
809,73,987,73
441,672,315,672
939,40,234,40
334,698,309,698
572,738,572,226
445,71,445,468
390,320,449,320
507,635,507,169
127,14,689,14
316,760,316,432
370,807,370,898
678,186,491,186
866,83,539,83
518,848,518,962
378,226,597,226
646,534,141,534
275,672,275,854
67,421,676,421
386,323,988,323
42,826,42,822
688,922,21,922
47,539,942,539
23,217,800,217
589,512,589,953
292,229,107,229
873,678,873,770
464,559,936,559
685,736,368,736
114,941,114,307
571,643,74,643
497,937,497,469
152,815,702,815
272,149,101,149
532,476,759,476
955,942,397,942
790,420,389,420
252,209,139,209
413,571,165,571
803,568,443,568
335,558,335,334
377,856,377,802
313,842,313,254
197,916,197,797
471,70,596,70
835,144,835,950
283,486,506,486
147,29,147,747
187,485,187,195
781,144,480,144
415,960,415,442
22,118,22,439
460,315,450,315
105,231,105,331
98,174,551,174
167,290,167,133
218,158,218,908
819,812,758,812
123,92,123,132
66,721,66,906
284,58,464,58
212,763,212,373
101,279,101,267
318,657,318,432
938,631,938,650
142,881,254,881
848,987,848,451
686,223,481,223
124,248,812,248
246,267,246,148
417,555,417,858
543,495,543,150
459,704,459,179
871,493,871,764
544,791,703,791
447,218,62,218
202,649,396,649
608,850,484,850
935,876,582,876
377,612,269,612
64,451,850,451
684,807,357,807
323,364,372,364
887,300,419,300
837,831,837,927
36,627,157,627
824,703,824,968
356,109,657,109
564,863,564,54
36,720,109,720
318,488,682,488
249,350,979,350
560,502,255,502
132,327,132,246
287,906,791,906
818,110,818,882
702,952,702,533
666,552,611,552
260,529,351,529
440,313,440,663
277,287,461,287
268,890,268,92
165,697,832,697
872,429,578,429
88,816,338,816
981,881,981,138
457,351,457,679
850,526,850,447
139,449,165,449
127,544,127,934
17,500,17,621
260,218,787,218
536,989,536,261
257,826,257,180
531,37,531,493
536,668,536,868
154,967,154,931
808,317,808,873
487,258,599,258
322,945,322,837
668,556,691,556
819,728,787,728
484,261,484,874
333,271,278,271
67,215,616,215
951,685,951,433
372,105,372,494
917,788,917,23
890,584,245,584
748,276,893,276
733,721,733,747
225,908,897,908
437,140,423,140
413,135,413,596
870,639,942,639
393,303,393,197
169,986,458,986
266,845,292,845
95,658,695,658
506,776,662,776
56,432,56,456
844,614,844,898
240,191,240,112
639,911,213,911
899,928,111,928
962,676,962,518
988,775,988,553
687,204,687,345
75,894,75,93
967,44,967,478
240,481,947,481
794,254,162,254
502,944,812,944
331,417,410,417
850,275,850,980
671,130,671,941
240,99,240,381
771,399,318,399
968,37,968,642
935,365,515,365
199,792,932,792
32,116,371,116
324,67,941,67
453,181,453,128
474,215,333,215
458,675,458,315
577,302,300,302
704,493,704,876
887,549,887,439
81,328,724,328
575,490,670,490
576,17,576,218
532,235,532,615
796,213,796,407
775,471,272,471
26,138,344,138
635,518,915,518
727,365,727,216
